seed,scenario,depth,step,arrived_cum,arrivals_step,queue,avg_wait_step,reward,cum_reward,AI_step,phase,green_duration,active_vehicles
1,Severe,0.55,1020,63,0,1,0.5,0.3107495556847907,208.40886813492529,0.2335,0,60,12
1,Severe,0.55,1080,67,0,4,2.0,-0.0053949123690663625,230.33963091155545,0.2385,1,41,13
1,Severe,0.55,1140,70,0,4,15.307692307692308,-0.17286125671973734,234.97744678743092,0.1611,2,65,13
1,Severe,0.55,1200,77,1,1,0.15384615384615385,1.3248629712792246,252.22995246331493,0.2884,3,44,13
1,Severe,0.55,1260,87,0,0,0.0,0.4273173992970329,270.01641799710876,0.3271,4,68,9
1,Severe,0.55,1320,90,0,1,1.3636363636363635,0.3512158596435246,298.9104885320596,0.3293,5,58,11
1,Severe,0.55,1380,91,0,2,4.142857142857143,0.20179553113638599,316.4231644551565,0.3145,0,47,14
1,Severe,0.55,1440,96,0,2,1.6,0.23323704415478302,339.204188691659,0.3502,2,65,15
1,Severe,0.55,1500,101,0,1,0.75,0.3408971836914595,360.550025925792,0.3747,3,64,16
1,Severe,0.55,1560,110,0,0,0.0,0.47440063047452674,392.52185388771437,0.4135,3,64,11
1,Severe,0.55,1620,114,0,0,0.0,0.4733617983667046,421.8226275154669,0.4286,4,62,9
1,Severe,0.55,1680,115,0,4,7.0,-0.017737282683079614,439.76422161299166,0.3857,5,70,13
1,Severe,0.55,1740,121,0,1,3.5,0.32700309730551247,461.63714425963803,0.4316,0,65,12
1,Severe,0.55,1800,125,0,4,9.294117647058824,-0.04464472702838723,473.0389863507028,0.408,1,66,17
1,Severe,0.55,1860,130,0,4,6.266666666666667,-0.0008750319405111395,482.68857818833095,0.4469,2,57,15
1,Severe,0.55,1920,135,0,2,6.5,0.20217789896656407,498.88754233911277,0.4642,3,59,10
1,Severe,0.55,1980,139,0,0,0.0,0.47383807121892535,528.6323579801953,0.5226,4,74,6
1,Severe,0.55,2040,141,0,0,0.0,0.46804413251774546,558.8888545206684,0.5301,5,60,5
1,Severe,0.55,2100,142,0,1,0.0,0.35988860710383286,587.6363503331422,0.5338,0,65,6
1,Severe,0.55,2160,144,0,1,2.0,0.33025801196817745,609.6060460204533,0.528,1,54,10
1,Severe,0.55,2220,149,0,3,20.22222222222222,-0.10221135823826699,617.6965619214928,0.4253,2,60,9
1,Severe,0.55,2280,153,0,2,4.3,0.20737684724656974,624.9869905212328,0.5465,3,58,10
1,Severe,0.55,2340,156,0,2,2.4545454545454546,0.22265740026162323,640.4536535335487,0.5701,4,62,11
1,Severe,0.55,2400,158,0,0,0.0,0.4463479311918741,665.7162723138068,0.594,5,73,12
1,Severe,0.55,2460,162,0,2,1.0769230769230769,0.22812127095572052,687.7972554340358,0.6018,0,79,13
1,Severe,0.55,2520,165,0,0,0.0,0.4345361323835181,706.8901893240267,0.6203,0,79,14
1,Severe,0.55,2580,173,0,1,2.0,0.32682971877717265,737.8612206587912,0.637,2,57,12
1,Severe,0.55,2640,179,0,1,0.125,0.3377258581165102,757.7761838333557,0.6721,3,68,8
1,Severe,0.55,2700,186,0,1,2.75,0.328587969522587,781.2348447855076,0.6809,3,68,8
1,Severe,0.55,2760,190,0,0,0.0,0.4645150758952637,812.9575312828747,0.7143,5,68,5
1,Severe,0.55,2820,191,0,0,0.0,0.45440300339974316,837.9191274655592,0.718,5,68,9
1,Severe,0.55,2880,193,0,2,0.6153846153846154,0.24769848084696136,864.5552277503303,0.7215,0,75,13
1,Severe,0.55,2940,196,0,4,13.076923076923077,-0.11057490671950848,873.3704015099693,0.6497,1,75,13
